subject,run,bold_present,events_present,status
sub-001,01,True,True,OK
sub-001,02,True,True,OK
sub-001,03,True,True,OK
sub-001,04,True,True,OK
sub-001,05,True,True,OK
sub-001,06,True,True,OK
sub-002,01,True,True,OK
sub-002,02,True,True,OK
sub-002,03,True,True,OK
sub-002,04,True,True,OK
sub-002,05,True,True,OK
sub-002,06,True,True,OK
sub-003,01,True,True,OK
sub-003,02,True,True,OK
sub-003,03,True,True,OK
sub-003,04,True,True,OK
sub-003,05,True,True,OK
sub-003,06,True,True,OK
sub-004,01,True,True,OK
sub-004,02,True,True,OK
sub-004,03,True,True,OK
sub-004,04,True,True,OK
sub-004,05,True,True,OK
sub-004,06,True,True,OK
sub-005,01,True,True,OK
sub-005,02,True,True,OK
sub-005,03,True,True,OK
sub-005,04,True,True,OK
sub-005,05,True,True,OK
sub-005,06,True,True,OK
